author,camp,mean_compound,std_compound,n_comments,pct_negative,pct_positive
@2011hwalker,denial,-0.7762038,,1,1.0,0.0
@2025isDiasaster,science,-0.033377036,,1,0.0,0.0
@205up90down,denial,0.96654314,0.0,2,0.0,1.0
@20artist_aruni12,denial,-0.2728295,,1,0.0,0.0
@20dabarr58,denial,-0.9223594,0.0,2,1.0,0.0
@20storiesunder,denial,-0.83110714,,1,1.0,0.0
@214ms5,science,0.8136899,,1,0.0,1.0
@2150dalek,science,0.93967307,,1,0.0,1.0
@2157AF,denial,0.22320251,0.888600656531158,2,0.0,0.5
@21Arfon21,science,-0.54589504,,1,1.0,0.0
@21Dirham,denial,0.9441957,,1,0.0,1.0
@21LAZgoo,science,-0.77009322,0.004094459390053798,2,1.0,0.0
@21quynhnhunguyenthi65,science,-0.55526584,,1,1.0,0.0
@21stTrojan,denial,-0.17143829,,1,0.0,0.0
@22051973jigu,science,-0.5265526,,1,1.0,0.0
@222ableVelo,denial,-0.38530038,0.24367029787336164,2,0.5,0.0
@2242bzo,science,-0.92439055,,1,1.0,0.0
@22Tech,denial,-0.33782846,,1,0.0,0.0
@22lilacsky,science,-0.5482458,,1,1.0,0.0
@22noel2,denial,0.9525909,,1,0.0,1.0
@23erisx,science,-0.89171076,,1,1.0,0.0
@23igna,science,-0.9099973,,1,1.0,0.0
@23jaybhatt,science,0.93338245,,1,0.0,1.0
@23ofSeptember,science,-0.8050851,,1,1.0,0.0
@24356-d,denial,-0.83151823,,1,1.0,0.0
@2435VARUN,science,-0.35629025,,1,0.0,0.0
@24JamesPerSecond,denial,0.9747635,,1,0.0,1.0
@25maxman,denial,-0.58503455,,1,1.0,0.0
@2707twinkle,science,0.024692968,,1,0.0,0.0
@28fabrice,science,0.10386466,,1,0.0,0.0
@290746john,denial,-0.8839771,,1,1.0,0.0
@2Cold2Hold777,denial,-0.5268092,,1,1.0,0.0
@2CowsDancing,denial,0.98095644,,1,0.0,1.0
@2Hesiod,denial,-0.05756976666666666,0.23708151464426688,3,0.0,0.0
@2Kanaltonstereo,denial,0.07545042,,1,0.0,0.0
@2Madre,science,-0.247058705,0.45023071970230555,2,0.5,0.0
@2NDFLB,denial,-0.3734525,,1,0.0,0.0
@2NDFLB,science,0.16002336,,1,0.0,0.0
@2Oldcoots,science,0.6275686,0.10343190299670603,2,0.0,1.0
@2adamast,denial,-0.09771032333333333,0.3776143111133092,3,0.0,0.0
@2adamast,science,-0.021829844,,1,0.0,0.0
@2bfrank657,science,-0.0832525225,0.1247871606491089,2,0.0,0.0
@2bhimprashanta,science,-0.12080653,,1,0.0,0.0
@2crüdeband,science,0.9355569,,1,0.0,1.0
@2degucitas,denial,0.33819026,,1,0.0,0.0
@2directioners1band,science,-0.72147006,,1,1.0,0.0
@2kAmbitions,denial,0.045140862,0.0,2,0.0,0.0
@2kmichaeljordan438,denial,-0.7595489,,1,1.0,0.0
@2kmichaeljordan438,science,-0.79407217,0.19628290053604214,2,1.0,0.0
@2kusbaldo,science,-0.0034144074,,1,0.0,0.0
@2lanerider,denial,0.027332485,0.0,2,0.0,0.0
@2mogar,denial,-0.58002025,0.0,2,1.0,0.0
@2mon249,denial,-0.71445376,,1,1.0,0.0
@2partiesnotpreferred226,science,-0.8306511,,1,1.0,0.0
@2psnopod,science,-0.40081957,,1,0.0,0.0
@2sccopsofPoo4U,denial,-0.7686106,,1,1.0,0.0
@2shivani4150,science,0.9575874,,1,0.0,1.0
@2shoe728,science,-0.5483026,,1,1.0,0.0
@2the431,denial,-0.5645843,,1,1.0,0.0
@2ways4u,denial,0.14059997,,1,0.0,0.0
@2x..slvarmy..933,science,0.9689641,,1,0.0,1.0
@2xkiller,science,-0.8065902,,1,1.0,0.0
@301rs,denial,-0.8843635933333333,0.03602357081381069,3,1.0,0.0
@303Scott,science,0.8034681,,1,0.0,1.0
@306316,denial,-0.5393031,0.0,2,1.0,0.0
@306champion,science,0.95168084,,1,0.0,1.0
@313jb8,science,0.03960166,,1,0.0,0.0
@31Blaize,denial,-0.8670993,0.0,2,1.0,0.0
@31ns4merW0LF,denial,0.08847294,,1,0.0,0.0
@31rafa,science,0.42386147500000004,0.3313756722949355,2,0.0,1.0
@3212010,denial,0.9835163,,1,0.0,1.0
@322stevo,science,-0.21320494,,1,0.0,0.0
@323guiltyspark,denial,-0.75645113,,1,1.0,0.0
@32BitJunkie,science,-0.87520283,,1,1.0,0.0
@32flavahs,denial,0.19365568,1.0085189379789914,2,0.5,0.5
@32hypersonic,science,-0.8069531,,1,1.0,0.0
@33LB,science,-0.09704696,,1,0.0,0.0
@34B6WG7H6E,denial,-0.024252191,,1,0.0,0.0
@360lootgoon3,denial,-0.71467763,,1,1.0,0.0
@3642130,denial,-0.8065704,,1,1.0,0.0
@369603,denial,0.4342499,,1,0.0,0.0
@369V52,science,0.97996366,,1,0.0,1.0
@377GhrHello,denial,-0.88447225,0.0,2,1.0,0.0
@37Dionysos,denial,0.21329114,,1,0.0,0.0
@386alexander,science,0.78998893,,1,0.0,1.0
@3John-Bishop,denial,-0.11293674,,1,0.0,0.0
@3RR0R210,science,0.39311668,,1,0.0,0.0
@3TRES-w3l,denial,-0.021097343,,1,0.0,0.0
@3TheWheel,science,0.6096088,,1,0.0,1.0
@3_Cats_Pottery,denial,0.94427496,,1,0.0,1.0
@3amAfterlife,science,-0.78065914,,1,1.0,0.0
@3dPrintingMillennial,science,-0.83963615,,1,1.0,0.0
@3dbRadb,denial,0.198168215,0.6481500350356408,2,0.0,0.5
@3dhelikiller,denial,-0.61605227,0.0,2,1.0,0.0
@3dsaulgoodman43,science,-0.5135755,,1,1.0,0.0
@3joewj,denial,-0.3412936,,1,0.0,0.0
@3ksinger,science,-0.4865532,,1,1.0,0.0
@3lightsteps,science,-0.8010796,,1,1.0,0.0
@3mtech,denial,-0.2741364,,1,0.0,0.0
@3nd1ess77,denial,0.030866683,,1,0.0,0.0
@3nertia,denial,-0.4236929708571428,0.5495804047047657,7,0.7142857142857143,0.14285714285714285
@3rix,denial,-0.76787287,,1,1.0,0.0
@3runjosh,denial,-0.35988736,0.0,2,0.0,0.0
@3socksMorgan,science,-0.87922424,,1,1.0,0.0
@4014Thugsy,denial,-0.8138943,,1,1.0,0.0
@41357500,science,-0.83459014,,1,1.0,0.0
@420.........,science,-0.9251877,0.029909949712316995,4,1.0,0.0
@420psilocybe,denial,0.97331876,,1,0.0,1.0
@4239LEO,science,-0.17226588033333332,0.2981962063024424,3,0.3333333333333333,0.0
@425bman,denial,-0.6484649,,1,1.0,0.0
@4321dern,denial,0.095679164,,1,0.0,0.0
@4321eyeseeyou,science,-0.177495765,0.37808712784679005,4,0.25,0.0
@43_primecraft,science,0.8545791,,1,0.0,1.0
@44digitgamer,denial,-0.0928713,,1,0.0,0.0
@4700_Dk,denial,0.4054858,,1,0.0,0.0
@4713Caine,denial,-0.08676860933333334,0.3142843028069564,3,0.0,0.0
@476233,science,-0.77628917,,1,1.0,0.0
@47bricklayer,denial,-0.7021028,,1,1.0,0.0
@47ravenlord,denial,-0.71746373,,1,1.0,0.0
@4856mj,denial,0.13947998,,1,0.0,0.0
@498278,science,0.028977871,,1,0.0,0.0
@49jubilee,denial,-0.23025158,,1,0.0,0.0
@4JesusinDelaware,science,0.9730214,,1,0.0,1.0
@4Kandlez,science,-0.4761718,,1,1.0,0.0
@4N4L4Seinfeld,denial,-0.5208992,0.0,2,1.0,0.0
@4Pr0phet,denial,-0.7638366,0.0,2,1.0,0.0
@4Righton,denial,0.33277157,,1,0.0,1.0
@4Stanzas,denial,0.92045474,,1,0.0,1.0
@4TIMESAYEAR,denial,0.18201521,,1,0.0,0.0
@4TIMESAYEAR,science,0.07037299999999999,0.38936438926239775,2,0.0,0.0
@4TheRecord,science,-0.71330774,,1,1.0,0.0
@4VengeanceV,denial,0.6941216,,1,0.0,1.0
@4brewman,denial,-0.19720647,,1,0.0,0.0
@4dragons632,science,-0.7863028,,1,1.0,0.0
@4edior762,science,-0.72858757,,1,1.0,0.0
@4islandlynx,science,0.95757335,,1,0.0,1.0
@4k4DexYT,denial,-0.1453905,0.0,2,0.0,0.0
@4me2poop0nU,science,-0.3635058,,1,1.0,0.0
@4n3d,science,-0.74781704,,1,1.0,0.0
@4ncientGu150,denial,0.76106226,,1,0.0,1.0
@4notron,science,0.24096255,,1,0.0,1.0
@4o8.sebastian,science,-0.89317137,,1,1.0,0.0
@4orty6,science,0.86073345,,1,0.0,1.0
@4runrdc,denial,-0.52626616,,1,1.0,0.0
@4sername,denial,-0.67300045,,1,1.0,0.0
@4thdimensionalexplorer,science,0.8363153,,1,0.0,1.0
@4thekids252,denial,0.9609501,,1,0.0,1.0
@4thorder,science,0.98791146,,1,0.0,1.0
@4thphaseofmalaise,denial,-0.542794625,0.28902915434788107,2,0.5,0.0
@4tonnesoffury329,denial,-0.92099583,,1,1.0,0.0
@4urluvjones155,science,-0.82050705,,1,1.0,0.0
@4y111a,denial,-0.5112543,,1,1.0,0.0
@505Hockey,denial,-0.8332673,0.0,2,1.0,0.0
@5060northernmama,denial,-0.14244108,,1,0.0,0.0
@509Pyro,science,0.21092805,,1,0.0,0.0
