camp,community,community_size,mean_compound,pct_negative,active_users
denial,178,2,-0.5807544675,0.75,2
denial,179,2,0.7699887999999999,0.0,1
denial,180,2,-0.619802775,1.0,2
denial,182,2,-0.19398107833333333,0.16666666666666666,2
denial,183,2,-0.259624563,0.4,2
denial,184,2,-0.21830365399999999,0.25,2
denial,185,2,-0.58105510125,1.0,2
denial,186,2,-0.4555149425,0.75,2
denial,187,2,0.354465035,0.0,2
denial,188,2,-0.475972465,0.25,2
denial,189,2,-0.039786930833333345,0.3333333333333333,2
denial,191,2,-0.7245516216666666,1.0,2
denial,192,2,-0.466347665,0.5,2
denial,194,2,-0.5769058925,1.0,2
denial,196,2,-0.4810654425,0.75,2
denial,198,2,-0.35185638750000003,0.25,2
denial,199,2,-0.0242541545,0.0,2
denial,200,2,-0.365847235,0.25,2
denial,201,2,0.32175025,0.25,2
denial,202,2,-0.46784975500000003,0.5,2
denial,203,2,-0.447433275,0.5,2
denial,204,2,-0.0928323825,0.25,2
denial,205,2,-0.28186190833333336,0.16666666666666666,2
denial,206,2,-0.54578965,1.0,2
denial,207,2,-0.6411445883333333,0.8333333333333333,2
denial,208,2,-0.7099372275,0.75,2
denial,211,2,-0.39602896325,0.5,2
denial,212,2,-0.06446874375,0.0,2
denial,213,2,0.3888347208333333,0.0,2
denial,214,2,-0.705377165,1.0,2
denial,215,2,-0.48089872499999997,0.5,2
denial,216,2,0.6686961433333334,0.0,1
denial,217,2,-0.16818148666666669,0.41666666666666663,2
denial,218,2,-0.5173908033333333,0.6666666666666666,2
denial,220,2,-0.30510370640000006,0.25,2
denial,222,2,-0.755639035,1.0,2
denial,223,2,-0.45204325805,0.5,2
denial,226,2,-0.27057921166666665,0.75,2
denial,228,2,-0.3422087135,0.5,2
denial,229,2,-0.60306643,0.6,2
denial,232,2,-0.2931951383333333,0.16666666666666666,2
denial,233,2,-0.19387284875,0.0,2
denial,234,2,-0.6741587183333333,1.0,2
denial,237,2,-0.6483573675000001,0.5,2
denial,238,2,0.16789534850000004,0.3,2
denial,240,2,-0.23781942250000002,0.5,1
denial,241,2,-0.06200548100000001,0.0,2
denial,242,2,0.18169732,0.5,2
denial,243,2,-0.46361426833333336,0.6666666666666666,2
denial,245,2,-0.5375309283333334,0.8333333333333333,2
denial,247,2,-0.5711324,0.6666666666666666,2
denial,249,2,-0.506004325,0.75,2
denial,250,2,-0.20233727999999998,0.25,2
denial,252,2,-0.4137666066666667,0.6666666666666666,2
denial,253,2,-0.6008374125,1.0,2
denial,254,2,-0.6577635624,0.7,2
denial,256,2,-0.6741576380000001,0.75,2
denial,257,2,-0.043356662500000004,0.5,2
denial,258,2,0.15632824,0.0,2
denial,260,2,-0.72869151,1.0,1
denial,261,2,-0.7895265812000001,0.9,2
denial,262,2,-0.23230635,0.0,2
denial,263,2,-0.72191205,1.0,2
denial,264,2,-0.6082450975,0.875,2
denial,266,2,-0.6502421083333334,1.0,2
denial,267,2,-0.59374260252,0.8,2
denial,269,2,-0.3326205175,0.5,2
denial,270,2,-0.30585025250000003,0.75,2
denial,271,2,-0.10564645825,0.0,1
denial,272,2,-0.5756005424999999,0.75,2
denial,273,2,0.426400965,0.0,2
denial,274,2,-0.5518707075,0.5,2
denial,275,2,-0.2452330125,0.5,2
denial,276,2,-0.6271754924999999,1.0,2
