in_degree,out_degree,pagerank,betweenness,eigenvector,closeness,influence_composite,author,camp,activity
2,0,0.00046143556581046614,0.0,3.218686625903424e-18,0.0,0.013588228939796552,@TheZZcube,science,1
0,2,0.00024966984898537066,0.0,-2.789055719923369e-18,0.0,0.0,@AnonymousBosch3158,science,2
2,0,0.00046143556581046614,0.0,-1.0631449254208525e-18,0.0,0.013588228939796552,@ikik3406,science,1
0,2,0.00024966984898537066,0.0,-1.897197675156911e-18,0.0,0.0,@AnuragDDethe,science,2
2,0,0.00046143556581046614,0.0,-2.7390308693969713e-18,0.0,0.013588228939796552,@JoyHomfeld,science,1
0,2,0.00024966984898537066,0.0,2.4183720416873352e-18,0.0,0.0,@AnyelinaL,science,2
2,0,0.00046143556581046614,0.0,4.563232608295775e-18,0.0,0.013588228939796552,@raiu,science,1
0,2,0.00024966984898537066,0.0,6.35841565966024e-19,0.0,0.0,@Apenimon15,science,2
4,0,0.0006732012826355617,0.0,-9.42729796938789e-19,0.0,0.027176457879593108,@bibliophile2707,science,1
0,2,0.00024966984898537066,0.0,-4.1456643980730934e-20,0.0,0.0,@AppleOfThineEye,science,2
4,0,0.0006732012826355617,0.0,6.202243994346239e-19,0.0,0.027176457879593108,@bernardqblack,science,1
0,2,0.00024966984898537066,0.0,1.4521783850236459e-18,0.0,0.0,@Aqyar,science,2
2,0,0.00046143556581046614,0.0,8.618637868589382e-18,0.0,0.013588228939796552,@frane9832,science,0
0,2,0.00024966984898537066,0.0,-2.935021283613663e-19,0.0,0.0,@Arctic_lonewolf,science,2
2,0,0.00046143556581046614,0.0,5.503217709376132e-19,0.0,0.013588228939796552,@wtpauley,science,1
0,2,0.00024966984898537066,0.0,-3.7228707791936626e-19,0.0,0.0,@ArcusDraco,science,2
2,0,0.00046143556581046614,0.0,3.4629738345519446e-18,0.0,0.013588228939796552,@shortycrust,science,1
0,2,0.00024966984898537066,0.0,-3.1636142152685492e-18,0.0,0.0,@Arthur_da_dog,science,2
2,0,0.00046143556581046614,0.0,1.2760487703376165e-18,0.0,0.013588228939796552,@UpcycleElectronics,science,1
0,2,0.00024966984898537066,0.0,2.125929822489944e-19,0.0,0.0,@ArunKumar-p6h7o,science,2
4,0,0.0006732012826355617,0.0,2.5653781393281857e-19,0.0,0.027176457879593108,Devam Project,science,0
0,2,0.00024966984898537066,0.0,-3.755820611737893e-18,0.0,0.0,@AstrumEarth,science,2
2,0,0.00046143556581046614,0.0,-1.808560391922013e-18,0.0,0.013588228939796552,Astrum Earth,science,0
0,2,0.00024966984898537066,0.0,-1.580227954985351e-19,0.0,0.0,@AudioPervert1,science,4
4,0,0.0005673184242230137,0.0,3.7654906176638215e-18,0.0,0.022382343409694826,@mitchellkrouth5083,science,1
5,2,0.0006732012826355617,0.0,8.186732996097572e-19,0.0,0.02917645787959311,@AussiePrepper152,science,2
8,0,0.0014584975241811852,0.0,-9.161115077550626e-18,0.0,0.07073273328804444,The Randall Carlson,science,0
0,2,0.00024966984898537066,0.0,-1.4127967716495888e-18,0.0,0.0,@AvianAndLoaded,science,4
2,0,0.00046143556581046614,0.0,-1.6585352376246716e-18,0.0,0.013588228939796552,@lindalembeck7286,science,1
0,2,0.00024966984898537066,0.0,1.0115772017410563e-18,0.22950819672131148,0.055035128805620614,@BB-yf6tm,science,2
2,2,0.00046143556581046614,0.0,5.215679103588907e-18,0.296969696969697,0.08480035015191777,@D.g.s-g6q,science,2
0,2,0.00024966984898537066,0.0,-8.16726387571543e-19,0.0,0.0,@BBCWorldService,science,2
6,0,0.0008849669994606571,0.0,2.6299155702018994e-18,0.0,0.04076468681938966,BBC World Service,science,0
0,2,0.00024966984898537066,0.0,-1.5164510389544265e-18,0.0,0.0,@BackToBackJames,science,2
4,0,0.0006732012826355617,0.0,6.733247977660263e-18,0.0,0.027176457879593108,@MASTERTINTIN,science,1
0,2,0.00024966984898537066,0.0,8.728518499894527e-19,0.0,0.0,@BandAid350z,science,2
2,0,0.00046143556581046614,0.0,4.908541049889263e-18,0.0,0.013588228939796552,@camdenrafftery3555,science,1
0,2,0.00024966984898537066,0.0,2.8574715924715908e-18,0.0,0.0,@BarrGC,science,4
2,0,0.00046143556581046614,0.0,9.962391110960559e-19,0.0,0.013588228939796552,@trigger9779,science,1
0,2,0.00024966984898537066,0.0,-1.0577307954623777e-18,0.0,0.0,@Battleneter,science,2
2,0,0.00046143556581046614,0.0,-8.58411935830472e-19,0.0,0.013588228939796552,@aletheiai,science,1
0,2,0.00024966984898537066,0.0,-2.423582576191861e-18,0.0,0.0,@BeeRich33,science,2
2,0,0.00046143556581046614,0.0,-1.745973846939807e-18,0.0,0.013588228939796552,@MrHamburgers1994,science,1
0,2,0.00024966984898537066,0.0,-3.1548500833138464e-18,0.0,0.0,@BerndFelsche,science,2
2,0,0.00046143556581046614,0.0,1.6358034787956315e-18,0.0,0.013588228939796552,@alterego-bg8gs,science,1
0,2,0.00024966984898537066,0.0,-1.220078522818656e-19,0.0,0.0,@BigBensAxles,science,2
