in_degree,out_degree,pagerank,betweenness,eigenvector,closeness,influence_composite,author,camp,activity,mean_compound,pct_negative,n_comments
2,0,0.0003555527073979,0.0,1.3350371432157869e-18,0.0,0.0087941144698982,@ohmslawyer3599,science,1,-0.21642530499999998,0.5,2.0
0,4,0.0002496698489853,0.0,-8.807893968107955e-19,0.0,0.0,@CH-et4go,science,7,-0.32942925085714286,0.5714285714285714,7.0
5,0,0.0004463094431801,0.0,3.979246754638135e-18,0.0,0.0189033554440967,@David-h5r1x,science,1,-0.21701121,0.0,1.0
2,0,0.0003555527073979,0.0,4.664554237616698e-18,0.0,0.0087941144698982,@jlg3315,science,1,-0.94590646,1.0,1.0
0,5,0.0002496698489853,0.0,8.660009150669188e-19,0.0,0.0,@CVshorey,science,6,-0.018498147499999996,0.0,6.0
3,2,0.0003767292790804,0.0,-6.945620282114292e-18,0.0,0.0117529373638779,@christopherlawrence1688,science,2,-0.78167094,1.0,4.0
2,0,0.0003343761357154,0.0,-5.039883650566224e-18,0.0,0.0078352915759186,@dakotarose3377,science,1,-0.42612387150000003,0.5,2.0
0,2,0.0002496698489853,0.0,-2.252726659384166e-18,0.0,0.0,@Calle.Hutch..,science,2,-0.01820878025,0.0,2.0
2,0,0.0004614355658104,0.0,-7.674908049084432e-19,0.0,0.0135882289397965,@Burninsock,science,1,-0.78303933,1.0,1.0
0,6,0.0002496698489853,0.0,-1.9270052996285873e-18,0.0,0.0,@Cambyses1467,science,8,-0.6681252723125,0.75,8.0
2,0,0.0003202584212604,0.0,5.671764208377483e-19,0.0,0.0071960763132655,@AdrianMier,science,1,0.9423284,0.0,1.0
2,0,0.0003202584212604,0.0,-3.849618030609578e-18,0.0,0.0071960763132655,@SabbaticWitch,science,1,0.019968435,0.0,1.0
2,0,0.0003202584212604,0.0,-4.149000051359985e-18,0.0,0.0071960763132655,@alexanderstone9463,science,1,-0.054174438,0.0,1.0
0,2,0.0002496698489853,0.0,7.606738945684194e-19,0.0,0.0,@CarlosOddone-z6k,science,4,-0.13712464675,0.25,4.0
2,0,0.0004614355658104,0.0,4.26838416876345e-19,0.0,0.0135882289397965,@glenrenaud9465,science,1,0.567134,0.0,1.0
0,2,0.0002496698489853,0.0,-2.5503671462120306e-19,0.0,0.0,@CaryNari,science,5,0.92696307,0.0,5.0
6,0,0.0008849669994606,0.0,-4.332748929189915e-18,0.0,0.0407646868193896,ClickView,science,0,0.0,,
0,2,0.0002496698489853,0.0,-1.9817062988153696e-18,0.0,0.0,@CatDadAckerman,science,3,-0.3165152786666667,0.6666666666666666,3.0
4,0,0.0006732012826355,0.0,1.4937639827204924e-18,0.0,0.0271764578795931,@MrErpman,science,1,0.20500574,0.0,1.0
0,2,0.0002496698489853,0.0,-9.431247549531781e-19,0.0,0.0,@Cedders001,science,3,0.04280953999999996,0.0,3.0
2,0,0.0004614355658104,0.0,-5.095745281478604e-18,0.0,0.0135882289397965,@ShaynaFilion,science,1,0.82784545,0.0,1.0
0,4,0.0002496698489853,0.0,7.53297356488391e-19,0.0,0.0,@ChadDad1488,science,10,-0.382095599,0.6,10.0
4,0,0.0004614355658104,0.0,1.390024030283856e-18,0.0,0.0175882289397965,@Kehvan,science,1,-0.33460927,0.0,1.0
0,2,0.0002496698489853,0.0,-3.18109976306734e-18,0.0,0.0,@ChandanSingh-vx4zf,science,2,-0.29238593999999996,0.5,2.0
4,0,0.0006732012826355,0.0,-4.579336173125655e-19,0.0,0.0271764578795931,ThePrint,science,0,0.0,,
0,3,0.0002496698489853,0.0,-7.615946054805416e-19,0.0,0.0,@Charlie-kn7zg,science,3,0.5852369966666667,0.0,3.0
5,0,0.0006732012826355,0.0,5.114971883251125e-18,0.0,0.0291764578795931,@bradleyirons3497,science,1,-0.94777197,1.0,1.0
0,2,0.0002496698489853,0.0,3.8036449575896736e-19,0.0,0.0,@Cheesemongle,science,2,0.446655458,0.0,2.0
2,0,0.0004614355658104,0.0,1.7835928298632317e-19,0.0,0.0135882289397965,@Anjou-m4v,science,1,0.97276133,0.0,1.0
0,2,0.0002496698489853,0.0,1.0495901512119805e-18,0.0,0.0,@ChefRafi,science,2,-0.881477925,1.0,2.0
68,0,0.0032143898845367,0.0,6.230723065531795e-17,0.0,0.2702352051571517,National Geographic,science,0,0.0,,
0,2,0.0002496698489853,0.0,-2.5951013655552137e-19,0.0,0.0,@Chevette1793,science,2,-0.7220264350000001,1.0,2.0
2,0,0.0004614355658104,0.0,1.1200769788522528e-18,0.0,0.0135882289397965,@onlymediumsteak9005,science,1,0.88560355,0.0,1.0
0,2,0.0002496698489853,0.0,-1.0367349023639444e-19,0.0,0.0,@Cholo282,science,2,0.16367087749999998,0.0,2.0
2,0,0.0004614355658104,0.0,9.890200921729958e-19,0.0,0.0135882289397965,@jocksmachina7759,science,1,0.01649578,0.0,1.0
0,2,0.0002496698489853,0.0,-3.490883093922817e-19,0.0,0.0,@Christianmingle420,science,10,-0.43348495839999995,0.4,10.0
2,0,0.0004614355658104,0.0,-2.889436639822732e-20,0.0,0.0135882289397965,@johnruckman2320,science,1,-0.40037507,0.0,1.0
0,2,0.0002496698489853,0.0,1.4820541505781944e-18,0.0,0.0,@ChristopherCurtis,science,2,-0.1283679925,0.0,2.0
4,0,0.0006732012826355,0.0,3.556150313715898e-18,0.0,0.0271764578795931,@majorgnu,science,1,-0.23447056,0.0,1.0
0,2,0.0002496698489853,0.0,2.053461848140795e-18,0.0,0.0,@ChuckisNorrish,science,2,-0.8190062,1.0,2.0
2,0,0.0004614355658104,0.0,2.202687030739101e-18,0.0,0.0135882289397965,@tahay2004,science,1,0.018573880000000004,0.0,3.0
0,2,0.0002496698489853,0.0,-1.4490140164780598e-18,0.2951807228915662,0.0707831325301204,@ChukMitchell,science,2,-0.4218764415,0.5,2.0
2,2,0.0004614355658104,0.0,2.120662364504779e-18,0.0,0.0135882289397965,@ClimateDN,science,7,0.21677632999999996,0.375,8.0
2,0,0.0006423179697581,0.0,-2.995626190708169e-17,0.0,0.0217781377042256,@infiad1275,science,1,-0.85879415,1.0,1.0
0,2,0.0002496698489853,0.0,-7.033590690379633e-19,0.0,0.0,@Collin-p9m,science,2,-0.2706404925,0.0,2.0
