author,science_comments,denial_comments,total_comments,sci_ratio,bridge_type,mean_compound,n_comments
@Mystery_Man_ML,3,4,7,0.4285714285714285,balanced,-0.41197659249999996,7
@justmenotyou3151,6,1,7,0.8571428571428571,science-leaning,-0.724693805,7
@CarlZimmerJung,5,2,7,0.7142857142857143,science-leaning,-0.3122342305,7
@davidprimeau3368,1,6,7,0.1428571428571428,denial-leaning,-0.15567250333333335,7
@SeraphsWitness,1,6,7,0.1428571428571428,denial-leaning,0.334568255,7
@j.kaimori3848,3,4,7,0.4285714285714285,balanced,-0.17911135333333333,7
@ProPexPup,5,2,7,0.7142857142857143,science-leaning,-0.176359119,7
@evets1709,1,6,7,0.1428571428571428,denial-leaning,-0.031223,7
@SaveMoneySavethePlanet,2,5,7,0.2857142857142857,denial-leaning,-0.498695807,7
@markmuller7962,1,6,7,0.1428571428571428,denial-leaning,-0.3639570091666667,7
@RedXlV,1,6,7,0.1428571428571428,denial-leaning,-0.5328112029166666,7
@archstanton_live,1,6,7,0.1428571428571428,denial-leaning,-0.22403781666666667,7
@europaeuropa3673,3,4,7,0.4285714285714285,balanced,-0.38221941966666667,7
@tomtetomtesson2477,1,6,7,0.1428571428571428,denial-leaning,-0.49787735916666664,7
@Debbie-henri,3,4,7,0.4285714285714285,balanced,-0.10879874941666666,7
@Entropic0,1,6,7,0.1428571428571428,denial-leaning,-0.234638055,7
@dylaninnes8541,2,5,7,0.2857142857142857,denial-leaning,-0.523947524,7
@TheTeaParty320,3,4,7,0.4285714285714285,balanced,0.32278765666666664,7
@ZennExile,6,1,7,0.8571428571428571,science-leaning,-0.5303700458333334,7
@WiseandVegan,5,2,7,0.7142857142857143,science-leaning,0.8166545980000001,7
@terencejay8845,4,3,7,0.5714285714285714,balanced,-0.5793579270833333,7
@maxxwellbeing9449,6,1,7,0.8571428571428571,science-leaning,-0.4773932525,7
@mikeharrington5593,5,2,7,0.7142857142857143,science-leaning,-0.330500715,7
@WSmith_1984,2,5,7,0.2857142857142857,denial-leaning,-0.3349877157,7
@KingComputerSydney,2,5,7,0.2857142857142857,denial-leaning,-0.30024593706,7
@donkloos9078,2,5,7,0.2857142857142857,denial-leaning,0.012338007500000005,7
@andrewclark3236,5,2,7,0.7142857142857143,science-leaning,0.258300784,7
@williambaikie5739,2,5,7,0.2857142857142857,denial-leaning,-0.337008698,7
@shealdedmon7027,6,1,7,0.8571428571428571,science-leaning,-0.4401684475,7
@stoodmuffinpersonal3144,6,1,7,0.8571428571428571,science-leaning,-0.5442418824999999,7
@Jacob-ks4mu,6,1,7,0.8571428571428571,science-leaning,-0.42247705516666667,7
@wlhgmk,5,2,7,0.7142857142857143,science-leaning,-0.31427867600000003,7
@scottclay4253,3,4,7,0.4285714285714285,balanced,0.7391370620833333,7
@Tengooda,1,6,7,0.1428571428571428,denial-leaning,-0.3782959014166667,7
@sedonars1,5,2,7,0.7142857142857143,science-leaning,-0.5061375935,7
@glenbard657,1,6,7,0.1428571428571428,denial-leaning,-0.3789785041666667,7
@canemcave,6,1,7,0.8571428571428571,science-leaning,-0.11391726991666666,7
@gedofgont1006,1,6,7,0.1428571428571428,denial-leaning,-0.37440031333333335,7
@scottsrfun,1,6,7,0.1428571428571428,denial-leaning,-0.6798159404166667,7
@aeroearth,3,4,7,0.4285714285714285,balanced,0.07555434499999998,7
@kirklaird8345,3,4,7,0.4285714285714285,balanced,-0.46246492066666667,7
@jjoohhhnn,3,4,7,0.4285714285714285,balanced,-0.6987386433333334,7
